run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
apache_spark_20224175662,apache_spark,20224175662,2,2,110637,55318.5,6,6,0,0,0,0,0
apache_spark_20224259566,apache_spark,20224259566,2,2,23938,11969.0,7,7,0,0,0,0,0
apache_spark_20226039777,apache_spark,20226039777,2,2,8055,4027.5,0,0,0,0,0,0,0
apache_spark_20226389841,apache_spark,20226389841,2,2,8055,4027.5,0,0,0,0,0,0,0
apache_spark_20233930923,apache_spark,20233930923,2,2,111210,55605.0,6,6,0,0,0,0,0
apache_spark_20236730094,apache_spark,20236730094,2,2,8064,4032.0,0,0,0,0,0,0,0
apache_spark_20237056856,apache_spark,20237056856,22,22,6518203,296281.95454545453,286,286,0,0,0,0,0
apache_spark_20237380985,apache_spark,20237380985,2,2,8057,4028.5,0,0,0,0,0,0,0
apache_spark_20245850196,apache_spark,20245850196,27,27,43455745,1609472.037037037,2710,1689,628,387,3,0,3
apache_spark_20253244648,apache_spark,20253244648,2,2,18068,9034.0,5,5,0,0,0,0,0
apache_spark_20253411504,apache_spark,20253411504,2,2,18054,9027.0,2,2,0,0,0,0,0
apache_spark_20253668368,apache_spark,20253668368,2,2,18068,9034.0,0,0,0,0,0,0,0
apache_spark_20259592096,apache_spark,20259592096,2,2,9022922,4511461.0,424,411,1,12,0,0,0
apache_spark_20267354489,apache_spark,20267354489,22,22,6588655,299484.3181818182,331,313,16,2,0,0,0
apache_spark_20272644964,apache_spark,20272644964,22,22,6520333,296378.7727272727,252,252,0,0,0,0,0
apache_spark_20293464325,apache_spark,20293464325,36,36,46807666,1300212.9444444445,2832,2156,608,65,0,0,3
apache_spark_20294689495,apache_spark,20294689495,2,2,9027206,4513603.0,428,415,1,12,0,0,0
apache_spark_20295433436,apache_spark,20295433436,38,38,6067324,159666.42105263157,394,331,2,61,0,0,0
apache_spark_20295478975,apache_spark,20295478975,2,2,8055,4027.5,0,0,0,0,0,0,0
